id,name,location,available number of rooms,standard,price per night,amenities,type of meal plan,meal preference,required car parking space,good review count,bad review count,rating,hotel_description,distance_from_city_center,check_in_time,check_out_time
JPN0019,Shibuya Plaza,Kobe,126,Standard,17000,"Fitness Center, Wi-Fi, Room Service, Onsen",Bed & Breakfast,Veg,False,505,548,3,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,11:00
JPN0020,Tokyo Tower Inn,Tokyo,147,Standard,16000,"Spa, Restaurant, Parking, Business Center, Bar, Fitness Center",All-Inclusive,Jain,True,2112,146,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,15:00,11:00
JPN0021,Osaka Bay Resort,Yokohama,130,Budget,11000,"Fitness Center, Spa, Onsen",All-Inclusive,Non veg without Beef,False,4256,628,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,15:00,10:00
JPN0022,Hotel Sakura,Nara,26,Premium,21000,"Business Center, Fitness Center, Parking, Restaurant, Room Service, Bar",Half Board,Vegan,True,1072,407,4,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,10:00
JPN0023,Osaka Bay Resort,Nagoya,172,Budget,8000,"Fitness Center, Room Service, Pet-friendly, Bar, Onsen, Restaurant",All-Inclusive,Vegan,True,3283,230,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,16:00,10:00
JPN0024,Tokyo Tower Inn,Nagoya,48,Premium,26000,"Bar, Parking, Fitness Center, Wi-Fi",Full Board,Both,False,3975,588,5,A comfortable and convenient hotel offering excellent services and amenities.,13 km,16:00,10:00
JPN0025,Mount Fuji Retreat,Kobe,121,Budget,6000,"Pet-friendly, Room Service, Restaurant, Free Breakfast, Parking",Half Board,Veg,False,2398,172,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,15:00,12:00
JPN0026,Kyoto Serenity,Kyoto,124,Budget,11000,"Fitness Center, Parking, Bar",Room Only,,False,1210,975,3,A comfortable and convenient hotel offering excellent services and amenities.,12 km,14:00,10:00
JPN0027,Tokyo Tower Inn,Fukuoka,264,Budget,11000,"Room Service, Spa, Bar, Business Center, Pet-friendly",Half Board,Veg,False,4914,991,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,11:00
JPN0028,Tokyo Tower Inn,Nara,178,Budget,11000,"Business Center, Onsen, Bar",Room Only,,True,2110,541,4,A comfortable and convenient hotel offering excellent services and amenities.,13 km,14:00,10:00
JPN0029,Hotel Sakura,Tokyo,110,Standard,16000,"Pet-friendly, Room Service, Business Center, Spa",Full Board,Both,False,4628,293,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,14:00,10:00
JPN0030,Tokyo Tower Inn,Nagoya,152,Premium,22000,"Business Center, Free Breakfast, Onsen, Bar",Half Board,Non veg without Beef,True,2893,165,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,12:00
JPN0031,Osaka Bay Resort,Fukuoka,26,Luxury,31000,"Free Breakfast, Spa, Pet-friendly, Onsen, Business Center",Bed & Breakfast,Both,False,3603,114,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,12:00
JPN0032,Hotel Sakura,Kyoto,92,Premium,22000,"Spa, Onsen, Parking, Bar",Half Board,Veg,False,2573,853,4,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,10:00
JPN0033,Shibuya Plaza,Sapporo,59,Budget,10000,"Fitness Center, Onsen, Parking, Wi-Fi, Pet-friendly",Bed & Breakfast,Jain,False,1218,243,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,11:00
JPN0034,Tokyo Tower Inn,Tokyo,248,Standard,15000,"Pet-friendly, Business Center, Free Breakfast, Onsen",All-Inclusive,Jain,True,4960,482,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0035,Mount Fuji Retreat,Nara,160,Budget,10000,"Free Breakfast, Business Center, Pet-friendly, Bar",Room Only,,False,3134,316,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,10:00
JPN0036,Tokyo Tower Inn,Osaka,231,Premium,21000,"Free Breakfast, Onsen, Fitness Center, Restaurant, Pet-friendly",Full Board,Vegan,True,1287,256,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,11:00
JPN0037,Osaka Bay Resort,Nara,249,Budget,11000,"Business Center, Bar, Room Service, Free Breakfast, Onsen",Half Board,Vegan,True,1735,111,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,16:00,11:00
JPN0038,Osaka Bay Resort,Yokohama,215,Budget,8000,"Parking, Restaurant, Onsen, Business Center",Half Board,Jain,True,4216,283,5,A comfortable and convenient hotel offering excellent services and amenities.,10 km,16:00,11:00
JPN0039,Hotel Sakura,Fukuoka,54,Budget,12000,"Room Service, Wi-Fi, Onsen",Bed & Breakfast,Non veg without Beef,False,2274,609,4,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,11:00
JPN0040,Nara Zen Lodge,Fukuoka,214,Budget,5000,"Room Service, Pet-friendly, Onsen, Parking, Free Breakfast, Fitness Center",Bed & Breakfast,Both,True,962,694,3,A comfortable and convenient hotel offering excellent services and amenities.,6 km,14:00,11:00
JPN0041,Mount Fuji Retreat,Nara,230,Standard,17000,"Wi-Fi, Free Breakfast, Bar, Onsen, Fitness Center",Half Board,Non veg without Beef,True,4915,368,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,16:00,12:00
JPN0042,Shibuya Plaza,Nagoya,294,Budget,12000,"Room Service, Bar, Fitness Center, Spa, Parking",Room Only,,False,1138,396,4,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0043,Shibuya Plaza,Kyoto,185,Standard,15000,"Business Center, Parking, Room Service, Spa, Bar, Pet-friendly",Room Only,,False,486,818,2,A comfortable and convenient hotel offering excellent services and amenities.,5 km,16:00,10:00
JPN0044,Hotel Sakura,Osaka,216,Premium,25000,"Fitness Center, Free Breakfast, Room Service, Wi-Fi, Spa",Half Board,Vegan,True,1980,626,4,A comfortable and convenient hotel offering excellent services and amenities.,17 km,16:00,12:00
JPN0045,Osaka Bay Resort,Tokyo,195,Standard,15000,"Restaurant, Bar, Parking",Room Only,,True,1239,942,3,A comfortable and convenient hotel offering excellent services and amenities.,3 km,16:00,11:00
JPN0046,Tokyo Tower Inn,Fukuoka,58,Budget,5000,"Restaurant, Business Center, Spa, Wi-Fi",Bed & Breakfast,Jain,True,4927,806,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,15:00,12:00
JPN0047,Osaka Bay Resort,Osaka,238,Standard,14000,"Business Center, Wi-Fi, Bar, Pet-friendly, Fitness Center, Spa",Half Board,Non Veg,False,1979,434,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,14:00,10:00
JPN0048,Tokyo Tower Inn,Osaka,259,Budget,11000,"Parking, Onsen, Bar",Room Only,,False,1513,396,4,A comfortable and convenient hotel offering excellent services and amenities.,16 km,16:00,11:00
JPN0049,Kyoto Serenity,Yokohama,240,Premium,24000,"Fitness Center, Pet-friendly, Room Service, Bar, Parking",Room Only,,True,1002,440,4,A comfortable and convenient hotel offering excellent services and amenities.,18 km,14:00,10:00
JPN0050,Hotel Sakura,Sapporo,147,Luxury,55000,"Bar, Pet-friendly, Onsen, Free Breakfast",Room Only,,False,2076,8,5,A comfortable and convenient hotel offering excellent services and amenities.,13 km,16:00,10:00
JPN0051,Kyoto Serenity,Sapporo,296,Budget,7000,"Parking, Free Breakfast, Business Center, Fitness Center",Full Board,Vegan,False,1034,102,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,15:00,12:00
JPN0052,Nara Zen Lodge,Osaka,222,Standard,14000,"Wi-Fi, Business Center, Free Breakfast, Restaurant, Parking",Half Board,Both,False,1114,919,3,A comfortable and convenient hotel offering excellent services and amenities.,6 km,14:00,12:00
JPN0053,Osaka Bay Resort,Yokohama,168,Standard,12000,"Fitness Center, Room Service, Onsen",Room Only,,False,2827,689,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,11:00
JPN0054,Hotel Sakura,Kobe,215,Budget,6000,"Wi-Fi, Restaurant, Onsen, Bar",Room Only,,False,176,38,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0055,Osaka Bay Resort,Yokohama,68,Standard,13000,"Wi-Fi, Free Breakfast, Parking, Onsen, Spa",Room Only,,False,1975,985,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,16:00,10:00
JPN0056,Kyoto Serenity,Tokyo,10,Budget,5000,"Business Center, Fitness Center, Restaurant, Spa",Room Only,,False,2161,857,4,A comfortable and convenient hotel offering excellent services and amenities.,14 km,16:00,11:00
JPN0057,Tokyo Tower Inn,Nara,202,Budget,10000,"Free Breakfast, Fitness Center, Spa",All-Inclusive,Non Veg,True,3360,595,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,14:00,11:00
JPN0058,Kyoto Serenity,Osaka,270,Budget,7000,"Business Center, Room Service, Spa, Pet-friendly, Parking",Half Board,Non veg without Beef,False,4606,420,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,16:00,12:00
JPN0059,Osaka Bay Resort,Osaka,110,Budget,8000,"Wi-Fi, Restaurant, Bar, Onsen, Parking, Free Breakfast",Bed & Breakfast,Both,False,4237,407,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,14:00,10:00
JPN0060,Hotel Sakura,Sapporo,29,Standard,14000,"Fitness Center, Business Center, Free Breakfast",Full Board,Jain,False,3898,649,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,14:00,11:00
JPN0061,Osaka Bay Resort,Osaka,182,Standard,12000,"Free Breakfast, Spa, Fitness Center, Bar, Room Service",All-Inclusive,Jain,True,1700,100,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,16:00,12:00
JPN0062,Tokyo Tower Inn,Osaka,231,Standard,19000,"Bar, Wi-Fi, Parking, Fitness Center",Half Board,Veg,True,2284,659,4,A comfortable and convenient hotel offering excellent services and amenities.,8 km,14:00,10:00
JPN0063,Hotel Sakura,Hiroshima,42,Standard,14000,"Fitness Center, Onsen, Room Service, Free Breakfast, Business Center",Full Board,Jain,True,3744,662,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,11:00
JPN0064,Hotel Sakura,Yokohama,116,Premium,21000,"Free Breakfast, Business Center, Bar, Restaurant, Fitness Center",Half Board,Non veg without Beef,True,4059,993,5,A comfortable and convenient hotel offering excellent services and amenities.,2 km,14:00,12:00
JPN0065,Hotel Sakura,Nagoya,156,Luxury,36000,"Bar, Parking, Fitness Center, Wi-Fi, Restaurant, Business Center",Full Board,Vegan,False,930,140,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,16:00,10:00
JPN0066,Mount Fuji Retreat,Hiroshima,148,Premium,23000,"Fitness Center, Onsen, Wi-Fi, Business Center",Room Only,,False,1753,372,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,15:00,12:00
JPN0067,Hotel Sakura,Nagoya,69,Premium,29000,"Parking, Spa, Fitness Center, Room Service, Restaurant",Half Board,Both,False,2461,95,5,A comfortable and convenient hotel offering excellent services and amenities.,10 km,16:00,10:00
JPN0068,Nara Zen Lodge,Yokohama,191,Premium,25000,"Parking, Spa, Pet-friendly, Restaurant, Onsen",Bed & Breakfast,Non veg without Beef,False,1752,304,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,10:00
JPN0069,Mount Fuji Retreat,Yokohama,139,Budget,5000,"Pet-friendly, Bar, Business Center",Bed & Breakfast,Veg,False,241,325,3,A comfortable and convenient hotel offering excellent services and amenities.,14 km,15:00,10:00
JPN0070,Osaka Bay Resort,Kobe,165,Budget,11000,"Free Breakfast, Wi-Fi, Pet-friendly, Parking, Business Center, Onsen",All-Inclusive,Non Veg,True,640,441,3,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,11:00
JPN0071,Hotel Sakura,Tokyo,185,Budget,6000,"Spa, Pet-friendly, Room Service, Parking, Wi-Fi, Fitness Center",Room Only,,True,585,466,3,A comfortable and convenient hotel offering excellent services and amenities.,18 km,16:00,10:00
JPN0072,Hotel Sakura,Sapporo,286,Standard,13000,"Bar, Room Service, Fitness Center, Spa",Full Board,Jain,False,4143,108,5,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,12:00
JPN0073,Osaka Bay Resort,Kyoto,6,Luxury,37000,"Free Breakfast, Room Service, Restaurant, Wi-Fi, Business Center",Full Board,Veg,True,1954,433,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,14:00,10:00
JPN0074,Mount Fuji Retreat,Nagoya,121,Premium,26000,"Pet-friendly, Spa, Business Center, Restaurant, Bar",Bed & Breakfast,Jain,True,1150,732,4,A comfortable and convenient hotel offering excellent services and amenities.,9 km,16:00,10:00
JPN0075,Osaka Bay Resort,Osaka,186,Budget,9000,"Wi-Fi, Free Breakfast, Pet-friendly, Fitness Center, Onsen, Room Service",Room Only,,True,1810,11,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,15:00,10:00
JPN0076,Osaka Bay Resort,Hiroshima,146,Budget,5000,"Pet-friendly, Wi-Fi, Business Center",Room Only,,False,4279,199,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,10:00
JPN0077,Kyoto Serenity,Sapporo,253,Premium,24000,"Free Breakfast, Restaurant, Pet-friendly, Bar, Room Service, Onsen",Full Board,Both,False,3294,342,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,14:00,12:00
JPN0078,Mount Fuji Retreat,Fukuoka,186,Standard,15000,"Spa, Fitness Center, Bar",Full Board,Veg,False,2154,246,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,14:00,12:00
JPN0079,Shibuya Plaza,Kyoto,56,Premium,24000,"Free Breakfast, Wi-Fi, Business Center",Half Board,Non Veg,True,2014,93,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,15:00,12:00
JPN0080,Mount Fuji Retreat,Hiroshima,85,Standard,19000,"Fitness Center, Parking, Wi-Fi",All-Inclusive,Non Veg,True,690,217,4,A comfortable and convenient hotel offering excellent services and amenities.,11 km,15:00,12:00
JPN0081,Mount Fuji Retreat,Yokohama,53,Budget,8000,"Spa, Restaurant, Parking",Full Board,Non Veg,False,131,225,2,A comfortable and convenient hotel offering excellent services and amenities.,4 km,14:00,10:00
JPN0082,Tokyo Tower Inn,Fukuoka,59,Budget,5000,"Wi-Fi, Restaurant, Spa, Onsen",All-Inclusive,Non Veg,False,1809,566,4,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,11:00
JPN0083,Mount Fuji Retreat,Nara,134,Premium,20000,"Business Center, Bar, Free Breakfast",Full Board,Non veg without Beef,True,2131,75,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0084,Tokyo Tower Inn,Nara,40,Premium,30000,"Restaurant, Room Service, Parking, Spa",All-Inclusive,Both,True,1922,849,4,A comfortable and convenient hotel offering excellent services and amenities.,7 km,16:00,11:00
JPN0085,Kyoto Serenity,Sapporo,23,Standard,19000,"Wi-Fi, Onsen, Room Service, Bar, Restaurant, Fitness Center",Room Only,,False,49,891,1,A comfortable and convenient hotel offering excellent services and amenities.,17 km,16:00,12:00
JPN0086,Kyoto Serenity,Kyoto,255,Budget,12000,"Onsen, Restaurant, Room Service, Bar, Wi-Fi",All-Inclusive,Vegan,False,1852,765,4,A comfortable and convenient hotel offering excellent services and amenities.,13 km,16:00,12:00
JPN0087,Shibuya Plaza,Tokyo,96,Standard,19000,"Fitness Center, Bar, Room Service, Wi-Fi, Business Center, Onsen",All-Inclusive,Vegan,False,2434,504,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,12:00
JPN0088,Osaka Bay Resort,Fukuoka,75,Premium,22000,"Spa, Restaurant, Onsen, Business Center",All-Inclusive,Non veg without Beef,False,2484,67,5,A comfortable and convenient hotel offering excellent services and amenities.,6 km,15:00,12:00
JPN0089,Kyoto Serenity,Fukuoka,294,Premium,30000,"Bar, Business Center, Restaurant, Free Breakfast, Onsen",Half Board,Non Veg,False,4285,795,5,A comfortable and convenient hotel offering excellent services and amenities.,8 km,15:00,10:00
JPN0090,Nara Zen Lodge,Tokyo,189,Luxury,58000,"Parking, Bar, Restaurant, Fitness Center, Wi-Fi",Full Board,Jain,True,2511,103,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,15:00,10:00
JPN0091,Kyoto Serenity,Kyoto,199,Standard,15000,"Restaurant, Fitness Center, Spa",Bed & Breakfast,Both,True,1205,960,3,A comfortable and convenient hotel offering excellent services and amenities.,9 km,16:00,11:00
JPN0092,Mount Fuji Retreat,Tokyo,5,Budget,10000,"Restaurant, Wi-Fi, Onsen, Business Center, Room Service",Full Board,Non veg without Beef,True,3896,839,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,12:00
JPN0093,Mount Fuji Retreat,Osaka,256,Budget,7000,"Parking, Restaurant, Pet-friendly, Spa, Bar",Half Board,Vegan,False,3805,334,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,14:00,12:00
JPN0094,Tokyo Tower Inn,Osaka,295,Standard,19000,"Restaurant, Wi-Fi, Onsen, Free Breakfast",Full Board,Both,True,914,929,3,A comfortable and convenient hotel offering excellent services and amenities.,4 km,15:00,10:00
JPN0095,Shibuya Plaza,Osaka,200,Budget,8000,"Parking, Room Service, Free Breakfast, Onsen",Bed & Breakfast,Jain,True,1436,901,4,A comfortable and convenient hotel offering excellent services and amenities.,6 km,14:00,11:00
JPN0096,Hotel Sakura,Osaka,59,Budget,10000,"Spa, Pet-friendly, Free Breakfast",Half Board,Non veg without Beef,False,193,788,1,A comfortable and convenient hotel offering excellent services and amenities.,6 km,15:00,10:00
JPN0097,Tokyo Tower Inn,Sapporo,65,Budget,7000,"Free Breakfast, Onsen, Wi-Fi, Pet-friendly",All-Inclusive,Veg,True,936,990,3,A comfortable and convenient hotel offering excellent services and amenities.,5 km,16:00,12:00
JPN0098,Mount Fuji Retreat,Tokyo,110,Standard,15000,"Bar, Business Center, Wi-Fi, Spa",Half Board,Non veg without Beef,False,3603,5,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,11:00
JPN0099,Nara Zen Lodge,Fukuoka,15,Premium,21000,"Bar, Free Breakfast, Fitness Center, Spa, Parking, Pet-friendly",Bed & Breakfast,Jain,True,3229,337,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,16:00,10:00
JPN0100,Mount Fuji Retreat,Nagoya,238,Premium,29000,"Fitness Center, Wi-Fi, Room Service, Parking, Business Center, Bar",Half Board,Vegan,True,459,956,2,A comfortable and convenient hotel offering excellent services and amenities.,1 km,16:00,12:00
JPN0101,Mount Fuji Retreat,Nagoya,50,Luxury,35000,"Business Center, Parking, Spa, Onsen, Fitness Center",All-Inclusive,Jain,False,2427,499,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,10:00
JPN0102,Shibuya Plaza,Osaka,133,Budget,11000,"Wi-Fi, Free Breakfast, Spa, Business Center, Bar, Room Service",All-Inclusive,Vegan,True,2712,791,4,A comfortable and convenient hotel offering excellent services and amenities.,2 km,16:00,11:00
JPN0103,Osaka Bay Resort,Sapporo,80,Budget,10000,"Spa, Room Service, Onsen",All-Inclusive,Veg,True,1495,796,4,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,10:00
JPN0104,Shibuya Plaza,Nara,187,Standard,16000,"Fitness Center, Free Breakfast, Pet-friendly, Room Service",Room Only,,True,1321,718,4,A comfortable and convenient hotel offering excellent services and amenities.,4 km,14:00,12:00
JPN0105,Osaka Bay Resort,Hiroshima,217,Standard,14000,"Parking, Pet-friendly, Onsen, Restaurant",Room Only,,True,4015,839,5,A comfortable and convenient hotel offering excellent services and amenities.,19 km,16:00,11:00
JPN0106,Osaka Bay Resort,Fukuoka,218,Standard,20000,"Pet-friendly, Restaurant, Wi-Fi, Bar",Bed & Breakfast,Jain,True,3700,942,4,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,10:00
JPN0107,Shibuya Plaza,Sapporo,286,Budget,9000,"Free Breakfast, Business Center, Spa, Onsen, Bar",Room Only,,False,1856,718,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,15:00,10:00
JPN0108,Kyoto Serenity,Yokohama,160,Budget,8000,"Onsen, Wi-Fi, Free Breakfast, Fitness Center",Full Board,Vegan,True,1941,531,4,A comfortable and convenient hotel offering excellent services and amenities.,2 km,16:00,11:00
JPN0109,Mount Fuji Retreat,Tokyo,126,Premium,23000,"Bar, Free Breakfast, Business Center, Room Service, Restaurant",Half Board,Non veg without Beef,True,3343,225,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,15:00,11:00
JPN0110,Shibuya Plaza,Sapporo,261,Luxury,47000,"Fitness Center, Business Center, Onsen, Spa, Pet-friendly, Wi-Fi",Half Board,Jain,True,4464,618,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,15:00,10:00
JPN0111,Kyoto Serenity,Kobe,201,Standard,13000,"Business Center, Parking, Wi-Fi, Fitness Center",Half Board,Both,False,528,762,3,A comfortable and convenient hotel offering excellent services and amenities.,18 km,16:00,11:00
JPN0112,Osaka Bay Resort,Hiroshima,92,Premium,27000,"Onsen, Room Service, Free Breakfast, Parking, Spa",Room Only,,True,75,984,1,A comfortable and convenient hotel offering excellent services and amenities.,9 km,15:00,11:00
JPN0113,Kyoto Serenity,Sapporo,266,Standard,20000,"Parking, Free Breakfast, Restaurant, Business Center, Fitness Center, Onsen",Bed & Breakfast,Jain,False,567,617,3,A comfortable and convenient hotel offering excellent services and amenities.,20 km,14:00,10:00
JPN0114,Nara Zen Lodge,Kyoto,128,Standard,13000,"Bar, Business Center, Free Breakfast, Room Service, Spa",Bed & Breakfast,Non Veg,False,3489,366,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,11:00
JPN0115,Hotel Sakura,Hiroshima,257,Budget,10000,"Bar, Room Service, Restaurant, Free Breakfast, Pet-friendly",Room Only,,False,770,575,3,A comfortable and convenient hotel offering excellent services and amenities.,19 km,14:00,10:00
JPN0116,Osaka Bay Resort,Tokyo,49,Budget,9000,"Spa, Bar, Business Center",Full Board,Non Veg,False,4371,524,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,12:00
JPN0117,Tokyo Tower Inn,Fukuoka,183,Budget,11000,"Restaurant, Onsen, Free Breakfast, Spa, Parking",Full Board,Both,True,4701,357,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,14:00,12:00
JPN0118,Shibuya Plaza,Yokohama,165,Standard,20000,"Onsen, Pet-friendly, Room Service",Bed & Breakfast,Jain,False,481,715,3,A comfortable and convenient hotel offering excellent services and amenities.,14 km,14:00,11:00
JPN0119,Tokyo Tower Inn,Tokyo,53,Premium,21000,"Parking, Pet-friendly, Fitness Center, Room Service, Business Center, Onsen",Full Board,Veg,True,2529,781,4,A comfortable and convenient hotel offering excellent services and amenities.,18 km,14:00,10:00
JPN0120,Kyoto Serenity,Kobe,99,Premium,26000,"Room Service, Wi-Fi, Free Breakfast, Business Center, Parking",Bed & Breakfast,Both,False,3865,402,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,16:00,10:00
